Feature ID	Area	Feature	User Story	Expected Behavior	Implementation Evidence	Existing Automated Coverage	Implementation Status	Test Status	Defect Log	Fix Status	Retest Status	Notes
F045	Item emoji	Deterministic fallback emoji	As a user, I want items to have a visual marker even without manual emoji selection.	When no emoji is selected, AppStore assigns a deterministic fallback emoji from the item UUID; ItemRow and detail views display fallback/pending emoji state.	Cubby/Utils/EmojiPicker.swift; Cubby/AppData/AppStore.swift; Cubby/Views/Items/ItemRow.swift	CubbyTests/EmojiTests.swift: fallback hash and AppStore new-item fallback	Documented and fixed	Passed focused unit test	D012: fallback emoji used randomized Swift hashValue and could change across launches	Fixed	Passed	SearchResultRow uses item emoji or fallback; focused EmojiTests xcresult 2026.06.21_13-48-18 passed.
F046	Item emoji	Manual emoji picker	As a user, I want to choose an emoji for an item.	Add/edit forms present MCEmojiPicker from the emoji button, resign text input first, store only the first emoji-like character, and clear pending AI state when changed in edit.	Cubby/Views/Items/ItemEmojiPickerButton.swift; Cubby/Views/Items/AddItemView.swift; Cubby/Views/Items/ItemEditView.swift	CubbyTests/EmojiTests.swift: create/edit manual emoji persistence	Documented from code	Passed focused unit test	None recorded	No fix required	Passed	External MCEmojiPicker presentation still benefits from manual device smoke testing.
F047	Item emoji	AI emoji enhancement	As a user, I want Cubby to suggest a better emoji when available.	On iOS 26 with FoundationModels support and no manual emoji, new items save with pending AI emoji, then a background coordinator requests one emoji and updates the Core Data item or clears pending on failure/timeout.	Cubby/Views/Home/FoundationModelEmojiService.swift; Cubby/Views/Home/EmojiAssignmentCoordinator.swift; Cubby/AppData/AppStore.swift	CubbyTests/EmojiTests.swift: coordinator success and unavailable fallback paths	Documented from code	Passed focused unit test	None recorded	No fix required	Passed	Live FoundationModels availability remains runtime-dependent; focused EmojiTests xcresult 2026.06.21_13-48-18 passed.
F048	Tags	Tag input normalization	As a user, I want tags to stay consistent.	Tag input lowercases, preserves in-progress word separators while typing, stores spaces as hyphens, removes unsupported characters, trims final hyphens, caps length at 30, rejects invalid/duplicate tags, supports deleting chips, and offers a visible Add Tag action.	Cubby/Views/Items/TagInputView.swift; Cubby/Utils/TagHelpers.swift	TagTests; CoreUserBehaviorUITests	Documented from code	Unit and UI tests passed 2026-06-21 on iPhone 16e simulator for multi-word tag entry, chip display, save, and reopen	D006: Live tag formatting trimmed the separator created by a typed space, so "Emergency Kit" became "emergencykit" instead of "emergency-kit".	Fixed with formatAsTagInput editing formatter plus explicit Add Tag button.	Passed after fix	Focused TagTests, focused tag UI test, and full CoreUserBehaviorUITests class passed.
F049	Tags	Tag suggestions	As a user, I want existing tags suggested while typing.	Add/edit forms request up to 5 suggestions from known item tags that contain the formatted input and are not equal to it; tapping a suggestion adds it.	Cubby/Views/Items/TagInputView.swift; Cubby/Utils/TagSuggestionService.swift	TagTests; CoreUserBehaviorUITests	Documented from code	Unit and UI tests passed 2026-06-21 on iPhone 16e simulator creating a known tag and reusing it from suggestions	D006 initially blocked the UI suggestion story because multi-word seed tags were saved without hyphens.	Fixed tag editing formatter and reran suggestion flow.	Passed after fix	CoreUserBehaviorUITests verifies typed "emer" suggests and adds "emergency-kit".
F050	Item detail	Item detail display	As a user, I want a complete item detail screen.	ItemDetailView shows a large emoji badge, title, optional photo card, optional description, optional tags, location, home, added date, and updated date.	Cubby/Views/Items/ItemDetailView.swift	CubbySnapshotTests; CoreUserBehaviorUITests	Documented from code	UI tests passed 2026-06-21 on iPhone 16e simulator for seeded and newly-created item detail entry	None recorded	Not needed	Passed partial	Exact metadata fields still need direct assertions.
F051	Item editing	Edit item	As a user, I want to update item details after creation.	ItemEditView loads the current item once, validates title and description length, allows editing title/description/emoji/tags/photo, saves through AppStore.updateItem, and dismisses on success.	Cubby/Views/Items/ItemEditView.swift; Cubby/AppData/AppStore.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator editing an item title and saving	None recorded	Not needed	Passed partial	Description, tags, emoji, photo edit, validation errors, and missing-item state still need direct validation.
F052	Item editing	Edit photo replacement/removal	As a user, I want to change or remove an item photo.	Edit photo menu supports camera, library, and remove; replacing deletes the old local photo after successful save; removing clears photo metadata and deletes the old local file.	Cubby/Views/Items/ItemEditView.swift; Cubby/AppData/AppStore.swift	AppStorePhotoTests	Documented from code	Unit test passed 2026-06-21 on iPhone 16e simulator for replacement deleting old file and removal clearing metadata/deleting file	None recorded	Not needed	Passed focused unit retest	Camera unavailable alert and system picker UI still require simulator/device UI validation.
F053	Item editing	Read-only shared edit gating	As a read-only collaborator, I should not be able to mutate items.	ItemDetailView hides the actions menu and ItemEditView disables the form/save when the home permission cannot edit items.	Cubby/Views/Items/ItemDetailView.swift; Cubby/Views/Items/ItemEditView.swift; Cubby/Services/HomeSharingService.swift	SharedHomePermissionGatingTests; CoreUserBehaviorUITests	Documented from code	UI and unit tests passed 2026-06-21 on iPhone 16e simulator for hidden item actions on read-only shared homes	None recorded	Not needed	Passed partial	ItemEditView disabled-form state still needs direct UI validation.
F054	Item movement	Move item	As a user, I want to move an item to another location in the same home.	Item detail's Move Item action opens StorageLocationPicker preselected to the current location; Done commits only if a different location is chosen; repository rejects invalid move targets.	Cubby/Views/Items/ItemDetailView.swift; Cubby/AppData/CoreDataAppRepository.swift	CoreDataAppRepositoryTests; CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator moving Roof Cargo Box to Kitchen and verifying detail updates	None recorded	Not needed	Passed	Move preserves item store by assigning the selected location relationship.
F055	Item deletion	Delete item confirmation	As a user, I want deletion to require confirmation.	Item detail's Delete action shows a confirmation dialog, records an undo snapshot when possible, deletes the item, refreshes AppStore, and dismisses detail.	Cubby/Views/Items/ItemDetailView.swift; Cubby/AppData/AppStore.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator confirming deletion from item detail	None recorded	Not needed	Passed partial	Photo-retention behavior during undo window still needs photo-backed validation.
F056	Undo	Undo deleted item	As a user, I want a short chance to undo accidental item deletion.	After item deletion, MainNavigationView shows an undo overlay for 8 seconds with the item title and countdown; tapping undo restores the latest deleted item snapshot if the original location still exists.	Cubby/Services/UndoManager.swift; Cubby/Views/MainNavigationView.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator deleting and restoring a newly-created item	None recorded	Not needed	Passed partial	Auto-hide timeout, max stack size, and missing-location restore failure still need direct validation.
F057	Undo	Dismiss undo	As a user, I want to hide the undo prompt when I do not need it.	The x button cancels the timer and hides the overlay without clearing the saved snapshots; later undo availability depends on internal stack state.	Cubby/Services/UndoManager.swift; Cubby/Views/MainNavigationView.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator dismissing the undo prompt after deletion	D005: The undo close button had no explicit accessibility label, making the dismiss action unclear to UI automation and assistive technologies.	Fixed with Dismiss Undo accessibility label and hint.	Passed after fix	Need still verify whether hidden snapshots can reappear with future deletions as intended.
F058	Search	Dedicated search	As a user, I want a dedicated search screen that finds items across homes.	SearchView searches AppStore by title, description, and tags; if multiple homes exist, a segmented picker filters by all homes or one home; results navigate to item detail.	Cubby/Views/Search/SearchView.swift; Cubby/AppData/AppStore.swift; Cubby/Views/Home/HomeView.swift	AppStoreSearchTests; CoreUserBehaviorUITests	Implemented and wired into Home Picker utility menu	UI and unit tests passed 2026-06-21 on iPhone 16e simulator	D009: SearchView was compiled but unreachable; D010: all-home search passed nil to AppStore.items(in:) and returned no cross-home results.	Fixed: added Search All Items entry point, corrected AppStore all-home search source, kept SearchView empty-query results empty.	Passed: focused AppStoreSearchTests/SearchViewModelTests and CoreUserBehaviorUITests/testDedicatedSearchFindsAcrossHomesAndShowsEmptyStates	Search entry now lives in Home Picker utility panel; inline search remains the primary bottom search affordance for current-home filtering.
F059	Search	Search empty states	As a user, I want clear feedback before and after searching.	Dedicated SearchView shows "Search Your Items" for empty query with no results and "No Results" when a non-empty query matches nothing.	Cubby/Views/Search/SearchView.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator	D010 fix required SearchView to avoid showing all items for empty all-home query after AppStore search correction.	Fixed: SearchView returns no results for empty trimmed query so the prompt state remains visible.	Passed focused dedicated-search UI retest	Home inline search has separate no-results copy.
F060	Search	Legacy SwiftData search model	As a maintainer, I want legacy SwiftData search behavior retained where still needed.	SearchViewModel debounces 300 ms, searches legacy InventoryItem title/description/tags, applies selected-home filter, sorts by relevance, and can clear search.	Cubby/ViewModels/SearchViewModel.swift	SearchViewModelTests	Legacy documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed focused unit retest	Production navigation uses AppStore/SearchView; this remains legacy SwiftData support.
F061	Pro and paywall	RevenueCat configuration	As a subscriber, I want Pro access derived from the correct entitlement.	ProAccessManager configures RevenueCat when available, reads entitlement "pro", tracks annual/monthly product identifiers, loads current offerings, and refreshes trial eligibility.	Cubby/Services/ProAccessManager.swift; Cubby/Config/Debug.xcconfig; Cubby/Config/Release.xcconfig	CubbyTests/ProAccessManagerTests.swift	Documented and partially covered	Passed local unit test; live RevenueCat not run	None recorded	No fix required	Passed local retest	Verified entitlement/product constants, XCTest bypass, Debug test key and Release production public SDK key; live customerInfo/offering load needs RevenueCat sandbox/network.
F062	Pro and paywall	Testing and preview tier overrides	As a tester, I want deterministic Pro/free states without RevenueCat network calls.	UI tests, previews, and XCTest bypass RevenueCat after key validation and default to Pro; FORCE_FREE_TIER and FORCE_PRO_TIER override in UI tests/previews/tests and DEBUG manual runs.	Cubby/Services/ProAccessManager.swift	ProPaywallTests; FeatureGateTests; CoreUserBehaviorUITests	Documented from code	UI and unit tests passed 2026-06-21 on iPhone 16e simulator using FORCE_PRO_TIER and FORCE_FREE_TIER	None recorded	Not needed	Passed partial	Still requires usable RevenueCat key in DEBUG.
F063	Pro and paywall	Pro status screen	As a user, I want to see and manage my subscription status.	ProStatusView shows Free/Pro status, plan name when active, Restore Purchases, Manage Subscription for active annual subscription, upgrade entry when not Pro, and legal links.	Cubby/Views/Pro/ProStatusView.swift; Cubby/Views/Home/HomeView.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator for free status, restore/legal rows, upgrade entry, and paywall handoff	None recorded	Not needed	Passed focused UI retest	Manage Subscription and plan-name rows still need entitlement-backed StoreKit/RevenueCat state to validate active annual/monthly subscriptions.
F064	Pro and paywall	Paywall package display	As a user, I want clear subscription options.	ProPaywallSheetView loads offerings, filters to subscription packages, sorts annual before monthly, selects the first available package, shows annual best-value badge, price details, legal/compliance copy, terms, and privacy links.	Cubby/Views/Pro/ProPaywallSheetView.swift	ProPaywallTests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator for visible benefits, CTA, terms, and privacy in item-limit paywall	None recorded	Not needed	Passed partial	Real RevenueCat package ordering/prices require sandbox/offering-backed validation.
F065	Pro and paywall	Paywall purchase	As a user, I want tapping the CTA to buy the selected Pro package.	The purchase button is disabled without a selected package or while purchasing; purchase calls RevenueCat; user-cancel leaves state; successful Pro entitlement dismisses the paywall; failure shows "Purchase failed. Please try again."	Cubby/Views/Pro/ProPaywallSheetView.swift; Cubby/Services/ProAccessManager.swift	ProPaywallTests	Documented and partially covered	Passed local UI test; live purchase not run	None recorded	No fix required	Passed local retest	Verified no-package CTA disabled in simulator; package-backed purchase, user-cancel, failure, and entitlement-dismiss paths require StoreKit/RevenueCat sandbox.
F066	Pro and paywall	Paywall restore and retry states	As a user, I want recovery options if products fail to load or purchases need restoring.	Paywall shows loading state, timeout/error retry UI with Try Again and Restore, restore messages from ProAccessManager, and disables restore while restoring.	Cubby/Views/Pro/ProPaywallSheetView.swift; Cubby/Services/ProAccessManager.swift	ProPaywallTests	Documented and partially covered	Passed local UI test; live restore not run	None recorded	No fix required	Passed local retest	Verified unavailable-options copy, Restore Purchase, 10-second timeout, Try Again, and Restore actions; real restored/no-purchases/failed messages require RevenueCat sandbox.
F067	Pro and paywall	Contextual paywall copy	As a user, I want upgrade messaging to match the blocked action.	PaywallContext reason drives copy for subscription required, home limit, item limit, over-limit, and manual upgrade; AddHome/AddItem gate alerts use matching copy.	Cubby/Services/PaywallContext.swift; Cubby/Views/Pro/ProPaywallSheetView.swift; Cubby/Views/Home/AddHomeView.swift; Cubby/Views/Items/AddItemView.swift	ProPaywallTests; CoreUserBehaviorUITests	Documented from code	UI tests passed 2026-06-21 on iPhone 16e simulator for item-limit and subscription-required copy	None recorded	Not needed	Passed partial	Home-limit, over-limit, and manual-upgrade reasons still need direct validation.
F068	Pro and paywall	Blocking subscription-required paywall	As a user in a hard-paywall scenario, I should not be able to dismiss the paywall without subscribing.	HARD_PAYWALL_PREVIEW initializes activePaywall to subscriptionRequired, hides the Close toolbar item, and applies interactiveDismissDisabled.	Cubby/Views/Home/HomeSearchContainer.swift; Cubby/Services/PaywallContext.swift; Cubby/Views/Pro/ProPaywallSheetView.swift	CoreUserBehaviorUITests	Dirty implementation documented from code	UI test passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Verified required copy and no Close button; gesture-based interactive dismissal still needs manual/device validation.
F069	Pro and paywall	Shared-home Pro upsell	As a free owner, I want to understand that sharing requires Pro.	FeatureGate returns upgradeRequired for owned homes when sharing is enabled but user is not Pro; HomeView share control opens manualUpgrade paywall.	Cubby/Services/FeatureGate.swift; Cubby/Views/Home/HomeView.swift	FeatureGateTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Feature gate is covered; HomeView upsell UI still needs direct validation.
F070	Shared homes	Shared homes runtime gate	As a developer, I want shared-home UI controlled by distribution/runtime/local flags.	SharedHomesGateService is enabled by default when distribution is enabled, honors SHARED_HOMES_ENABLED, FORCE_ENABLE_SHARED_HOMES, FORCE_DISABLE_SHARED_HOMES, and internal local overrides.	Cubby/Services/SharedHomesGateService.swift	SharedHomePermissionGatingTests; FeatureGateTests; CoreUserBehaviorUITests	Documented from code	Unit and mock-mode UI tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Environment key defaults to disabled unless injected; distribution/runtime combinations still need launch-matrix validation.
F071	Shared homes	Share home link	As a Pro home owner, I want to invite others to a home.	When sharing is allowed, Share Home prepares or reuses a CKShare, configures read-write public permission, waits for private-store export, resolves a share URL, and opens a share activity sheet.	Cubby/Views/Home/HomeView.swift; Cubby/Services/HomeSharingService.swift	HomeSharingServiceTests; HomeSharePresentationTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Service/presentation helpers are covered; actual share activity sheet and CloudKit export remain integration-level.
F072	Shared homes	Manage existing share	As a home owner, I want to manage an existing shared home.	If a selected owned home is already shared, the shared status row can open UICloudSharingController to manage participants; save/stop callbacks refresh AppStore.	Cubby/Views/Home/HomeView.swift; Cubby/Views/Home/CloudSharingControllerRepresentable.swift	CloudSharingControllerRepresentableTests; HomeSharePresentationTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	HomeView presentation helper is covered; UICloudSharingController interaction remains integration-level.
F073	Shared homes	Share sheet branding	As an invite recipient, I want the share link to identify the Cubby home clearly.	Share activity uses title "Cubby Home: <home name>", item type "Home Inventory", and app icon thumbnail when available.	Cubby/Views/Home/HomeView.swift; Cubby/Views/Home/CloudSharingControllerRepresentable.swift	HomeSharePresentationTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Branding helper is covered; UIActivityViewController visual behavior still needs direct validation.
F074	Shared homes	Accept CloudKit invitation	As an invited collaborator, I want accepted iCloud shares added to Cubby.	AppDelegate handles application and scene CloudKit share metadata, resolves HomeSharingService, accepts the invitation into the shared persistent store, and logs/user-handles failures through SharingErrorHandler.	Cubby/AppDelegate.swift; Cubby/Services/HomeSharingService.swift	HomeSharingServiceTests; SharingErrorHandlerTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Real invite acceptance needs device/iCloud integration.
F075	Shared homes	Mock shared homes modes	As a developer, I want to preview owner/read-write/read-only shared-home UX without iCloud.	Debug mock modes resolve from launch args/env, make homes appear shared, produce mock share URLs, and assign owner/read-write/read-only/mixed permissions.	Cubby/Services/HomeSharingService.swift; Cubby/CubbyApp.swift	SharedHomePermissionGatingTests; HomePickerEditTests; CoreUserBehaviorUITests	Documented from code	UI and unit tests passed 2026-06-21 on iPhone 16e simulator for mixed-mode leave confirmation, read-only UI gates, and permission logic	None recorded	Not needed	Passed partial	Owner/read-write visual passes still need direct coverage.
F076	Shared homes	Shared permission badges	As a user, I want to know when a home is shared or shared with me.	Home picker rows and home header status rows show "Shared" for owned shared homes and "Shared with you" for collaborator homes; manage affordance appears only for owned homes with existing share.	Cubby/Views/Home/HomeView.swift	HomePickerEditTests; HomeSharePresentationTests; CoreUserBehaviorUITests	Documented from code	Unit presentation tests and mixed-mode/read-only UI affordance tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Badge text visibility still needs direct screenshot/manual assertion.
F077	Shared homes	Shared-home read-only gates	As a read-only collaborator, I should still view items but not create/edit/delete.	SharePermission.canViewItems is true, while canMutate-derived permissions block create locations, add items, edit items, and delete items; UI hides or disables mutation affordances.	Cubby/Services/HomeSharingService.swift; Cubby/Views/Home/AddLocationView.swift; Cubby/Views/Items/AddItemView.swift; Cubby/Views/Items/ItemDetailView.swift; Cubby/Views/Items/ItemEditView.swift	SharedHomePermissionGatingTests; CoreUserBehaviorUITests	Documented from code	UI and unit tests passed 2026-06-21 on iPhone 16e simulator for viewing item detail, hidden actions menu, and disabled AddItemView save	None recorded	Not needed	Passed partial	Add-location and edit-view disabled states still need direct UI validation.
F078	Shared homes	Sharing error handling	As a user, I want sharing failures explained in plain language.	SharingErrorHandler maps HomeSharingServiceError and CKError cases to user-facing messages, offline state, and retry decisions; HomeView shows Share Home Error alert.	Cubby/Services/SharingErrorHandler.swift; Cubby/Views/Home/HomeView.swift	SharingErrorHandlerTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Retry policy is covered; HomeView alert presentation still needs direct validation.
F079	Search and item cards	Item row display	As a user scanning a list, I want each row to summarize an item.	ItemRow shows a 48x48 emoji badge, title, optional one-line description, and optional location path when showLocation is true; tapping navigates to item detail.	Cubby/Views/Items/ItemRow.swift	CubbySnapshotTests; CoreUserBehaviorUITests	Documented from code	UI tests passed 2026-06-21 on iPhone 16e simulator for visible rows and tap-to-detail navigation	None recorded	Not needed	Passed partial	Dedicated search result row with showLocation true still needs direct validation.
F080	Data model	Inventory value model	As a maintainer, I want SwiftUI to work with value models instead of managed objects.	AppHome, AppStorageLocation, and AppInventoryItem carry IDs, names, dates, share state, location paths, tags, emoji, photo metadata, and computed canDelete/tagsSet helpers.	Cubby/AppData/AppModels.swift; Cubby/AppData/CoreDataAppRepository.swift	CoreDataAppRepositoryTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed	Repository value-model mapping is covered by unit tests.
F081	Data model	Legacy SwiftData models	As a maintainer, I want legacy models retained for migration and seeds.	Home, StorageLocation, and InventoryItem define SwiftData schema, relationships, fullPath, canDelete, canMoveTo, max nesting depth, tags, emoji, and photo metadata for migration/preview/source generation.	Cubby/Models/Home.swift; Cubby/Models/StorageLocation.swift; Cubby/Models/InventoryItem.swift	StorageLocationTests; DataMigrationTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Production runtime is Core Data AppStore path; live legacy-store upgrade remains integration-level.
F082	Validation	Item edit validation	As a user editing an item, I want invalid titles/descriptions called out before save.	ItemEditView uses ValidationHelpers to reject empty titles, titles over 200 characters, and descriptions over 1000 characters, showing footer messages and disabling Save.	Cubby/Views/Items/ItemEditView.swift; Cubby/Utils/ValidationHelpers.swift	CoreUserBehaviorUITests	Documented from code	UI test passed 2026-06-21 on iPhone 16e simulator showing the overlong-title error and disabling Save	None recorded	Not needed	Passed partial	AddItemView only disables blank title and does not show length validation; overlong description still needs direct UI validation.
F083	Validation	Home and location validation helpers	As a maintainer, I want reusable validation for names and nesting.	ValidationHelpers include SwiftData-oriented checks for home name, location name, duplicate sibling location names, nesting depth, item title/description, and photo size.	Cubby/Utils/ValidationHelpers.swift	StorageLocationTests; TagTests partially	Legacy helper documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator for related storage/tag constraints	None recorded	Not needed	Passed partial	Need verify which helpers are active in current production views.
F084	Tests and snapshots	App Store screenshots	As a developer, I want reproducible snapshot screens for App Store media.	CubbySnapshotTests captures onboarding, home, item detail, and add item states using UI-TESTING/SNAPSHOT_ONBOARDING/SEED_MOCK_DATA arguments.	CubbyUITests/CubbySnapshotTests.swift	CubbySnapshotTests	Documented from code	UI snapshot tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed	Legacy Fastlane snapshot config still exists but ASC/Xcode Cloud is current release tooling.
F085	Tests and snapshots	Focused UI behavior tests	As a maintainer, I want automated coverage for core UI workflows.	Existing UI tests cover basic launch, storage location picker, home picker edit/delete/leave, Pro paywall visual path, missing local photo, home-section collapse, onboarding submission, empty state, inline search, item add/edit/delete/undo, add-home, read-only sharing gates, location detail, move item, tag suggestions, edit validation, hard-paywall preview, recovery launch states, migration recovery alert, and paywall retry states.	CubbyUITests/*.swift	CubbyUITests suite	Documented and expanded	Passed 2026-06-21 on iPhone 16e simulator: 30 logical tests passed, 0 failed; xcresult reported 33 device/configuration executions	D003: Initial new UI tests used stale/over-specific automation labels for search close and blocking paywall CTA; app behavior was valid. D008: Full parallel UI target once left onboarding on screen after a Get Started tap while the keyboard was focused.	Hardened CoreUserBehaviorUITests, including keyboard Done onboarding submission with visible-button fallback, and reran focused plus full UI suite.	Passed after test hardening	Full UI retest xcresult 2026.06.21_14-01-18 passed; no warning lines in /tmp/cubby-ui-full-final.log.
F086	Tests and snapshots	Focused unit tests	As a maintainer, I want behavior-level unit coverage for persistence, gates, sharing, migration, tags, CloudKit settings, launch selection, search, photos, emoji, Pro configuration, and app-state recovery.	Existing Swift Testing files cover services/repositories/models, feature gates, sharing permissions, CloudKit sync state/settings/startup, migration, tags, remote-change handling, home/location selection, photo persistence/cleanup, emoji fallback/coordinator, and ProAccessManager constants/bypass.	CubbyTests/*.swift	CubbyTests suite	Documented and expanded	Passed 2026-06-21 on iPhone 16e simulator: 194 passed, 0 failed	D001 found in first run: 171 passed, 2 failed in CloudSyncCoordinatorTests before fix. D007: RemoteChangeHandlerTests used fixed sleeps and failed once in full-suite timing when the merge notification had not arrived yet. D011: AppStorePhotoTests initially shared photo files across parallel tests.	Fixed D001, D007, and D011; added focused search, photo, emoji, recovery, and ProAccessManager tests.	Passed after fixes	Full-unit retest xcresult 2026.06.21_14-00-29 passed; log only had Xcode AppIntents metadata-skip warnings from test targets.
F087	Build hygiene	Warning-free simulator build	As a maintainer, I want local simulator builds to be free of avoidable asset-catalog warnings.	xcodebuild for the Cubby scheme should complete without unassigned image-set children or other avoidable build warnings.	Cubby/Assets.xcassets/Icons/*.imageset/Contents.json	xcodebuild build	Documented from build audit	Passed 2026-06-21 on iPhone 16e simulator	D002: Icon image sets had 2x/3x PNG files on disk but missing filename entries in Contents.json, producing unassigned-children asset warnings.	Fixed in four icon Contents.json files	Passed after rebuild	Resolved for mingcute-down-line, pajamas-arrow-right, pajamas-reply, and pajamas-search; final test logs have no asset-catalog warning lines, only Xcode AppIntents metadata-skip warnings in unit build.
